Region,Alliance,Strength
Amazonia,New Lunar Republic,1458
Amazonia,The Federal Colonies,713
Amazonia,Brotherhood of Zion,574
Amazonia,The Dino Reich,373
Amazonia,Dictators United,347
Amazonia,SPQR,250
Amazonia,Yotsuba&!,183
Amazonia,UFN,178
Amazonia,Comintern,131
Amazonia,Che Guevara League,118
Amazonia,/int/elligentsia,117
Amazonia,INNAWDS,111
Amazonia,JIDF,108
Amazonia,Vegan Militantos,93
Amazonia,Executive Outcomes,89
Amazonia,None,86
Amazonia,The Dark Brotherhood,50
Arabia,BAMF,2635
Arabia,SPQR,1849
Arabia,The Federal Colonies,934
Arabia,Blood Crescent,779
Arabia,Brotherhood of Zion,626
Arabia,Dictators United,536
Arabia,New Lunar Republic,459
Arabia,/int/ernational,411
Arabia,Non-Aligned Movement,368
Arabia,The Sealion League,365
Arabia,None,267
Arabia,Brotherhood of Nod,251
Arabia,Caliphate,234
Arabia,Yotsuba&!,213
Arabia,UFN,123
Arabia,INNAWDS,117
Arabia,Executive Outcomes,115
Arabia,Roganopolis,115
Arabia,/int/elligentsia,108
Arabia,Oily Alliance v2.0,93
Arabia,Comintern,87
Arabia,OPEC,49
Arabia,Retribution,40
Arabia,ISAP,26
Arabia,CGFL,24
Arabia,The Dark Brotherhood,10
Arabia,Great SP Alliance,8
Arabia,'peace' keepers,6
Arabia,IAS,6
Atlas,SPQR,515
Atlas,UFN,369
Atlas,Non-Aligned Movement,312
Atlas,The Federal Colonies,249
Atlas,BAMF,245
Atlas,None,207
Atlas,Brotherhood of Nod,156
Atlas,Executive Outcomes,88
Atlas,Blood Crescent,60
Atlas,Oil Empires of Atlas,45
Atlas,Dictators United,25
Atlas,INNAWDS,12
Atlas,Comintern,11
Caribbean,Brotherhood of Zion,1079
Caribbean,SPQR,1004
Caribbean,BAMF,706
Caribbean,The Federal Colonies,680
Caribbean,Non-Aligned Movement,629
Caribbean,The Dino Reich,432
Caribbean,Brotherhood of Nod,351
Caribbean,New Lunar Republic,324
Caribbean,Che Guevara League,254
Caribbean,Dictators United,210
Caribbean,The Sealion League,199
Caribbean,The Free Caribbean,131
Caribbean,Comintern,110
Caribbean,None,91
Caribbean,Vegan Militantos,58
Caribbean,INNAWDS,51
Caribbean,NATO,13
Caribbean,The Caribbean League,11
