URL,Name,UserName,Alliance,Region,MilSize,MilTech,MilTrain,GDP,Airforce,LastOnline,Alignment,EcoSys,Industry,RMProd,OilProd,Uranium,NukeReactor,Reputation,Territory
http://www.blocgame.com/stats.php?id=3672,Leazus,Rance,The Dino Reich,Amazonia,278,9,3,8032,Very Powerful,10,United States ,Free Market,8,93,60,0,0,Gandhi-like,48107
http://www.blocgame.com/stats.php?id=46036,Luna Celeste,Sulk,New Lunar Republic,Amazonia,259,6,4,6481,Very Powerful,0,United States ,Free Market,7,72,31,0,0,Nice,35878
http://www.blocgame.com/stats.php?id=40490,plibt,Dabacus,Brotherhood of Zion,Amazonia,225,8,5,3231,Very Powerful,5,Soviet Union ,Mixed Economy,4,42,13,0,0,Gandhi-like,20523
http://www.blocgame.com/stats.php?id=46023,the filly harem,Hornlicker,New Lunar Republic,Amazonia,222,9,5,11054,Very Powerful,4,United States ,Free Market,6,77,24,1,0,Gandhi-like,69992
http://www.blocgame.com/stats.php?id=46332,Neo-Osaka,Takarada,New Lunar Republic,Amazonia,218,8,3,4179,Very Powerful,130,United States ,Free Market,5,76,19,0,0,Gandhi-like,44593
http://www.blocgame.com/stats.php?id=45842,SlavicStrongs,Spiddy,New Lunar Republic,Amazonia,199,8,5,7894,Very Powerful,9,United States ,Mixed Economy,4,75,10,0,0,Gandhi-like,40414
http://www.blocgame.com/stats.php?id=45916,Eosina,Magic Banana,The Federal Colonies,Amazonia,195,6,2,4808,Very Powerful,52,Neutral ,Mixed Economy,5,40,26,0,0,Gandhi-like,19800
http://www.blocgame.com/stats.php?id=46766,Raczor,Raczor,New Lunar Republic,Amazonia,194,8,4,8718,Very Powerful,1,United States ,Free Market,4,80,32,0,0,Gandhi-like,54594
http://www.blocgame.com/stats.php?id=45857,Cesil,Devante,SPQR,Amazonia,193,6,2,5103,Mediocre,52,Neutral ,Mixed Economy,6,41,24,0,0,Gandhi-like,20100
http://www.blocgame.com/stats.php?id=46641,Shekels,Schlomo Schmemol,New Lunar Republic,Amazonia,185,7,5,5696,Very Powerful,22,United States ,Free Market,4,50,22,0,0,Gandhi-like,51681
http://www.blocgame.com/stats.php?id=46914,Bananaland,Jango,Yotsuba&!,Amazonia,183,9,5,9804,Very Powerful,17,United States ,Free Market,8,91,9,0,0,Gandhi-like,70429
http://www.blocgame.com/stats.php?id=47185,Colvacus,Colvac,Dictators United,Amazonia,179,7,3,6194,Large,1,Soviet Union ,Mixed Economy,4,80,15,0,0,Angelic,40999
http://www.blocgame.com/stats.php?id=46274,mlpfags,pyronetics01,New Lunar Republic,Amazonia,178,8,5,7488,Very Powerful,205,United States ,Free Market,5,88,16,0,0,Gandhi-like,50109
